"38.5.1.3. прочее",000762,"НАПИТОК \"ЛИМОНАД\" СИТРО 0,6л (вкус года)",шт,4670008150067,1,
"38.5.1.3. прочее",000779,"НАПИТОК Б/А С/Г \"ЛИМОНАД\" БАРБАРИС (ФРУКТОМАНИЯ) 1,5л (пл.бут.)",шт,4600286103912,1,
"38.5.1.3. прочее",000781,"НАПИТОК Б/А С/Г \"ДЮШЕС\" (ФРУКТОМАНИЯ) 1,5л (пл.бут.)",шт,4600286103790,1,
"38.5.1.3. прочее",001162,"НАПИТОК Б/А Н/ГАЗ \"HOOP\" ВИНОГРАД 0,5л (пл/бут)",шт,4602983006190,1,
"38.5.1.3. прочее",001386,"НАПИТОК \"АСКАНИЯ\" ТАРХУН 0,5л (ст.бут.)",шт,4630001590024,1,
"38.5.1.3. прочее",001387,"НАПИТОК \"АСКАНИЯ\" ЛИМОН 0,5л (ст.бут.)",шт,4630001590031,1,
"38.5.1.3. прочее",001389,"НАПИТОК \"АСКАНИЯ\" КЛУБНИКА 0,5л (ст.бут.)",шт,4630001590055,1,
"38.5.1.3. прочее",001390,"НАПИТОК \"АСКАНИЯ\" ГРУША 0,5л (ст.бут.)",шт,4630001590062,1,
"38.5.1.3. прочее",001420,"НАПИТОК Б/А ГАЗ \"ЛАЙМОН ФРЕШ\" 1,5л (пл/бут)",шт,4620001311514,1,
"38.5.1.3. прочее",001421,"НАПИТОК Б/А ГАЗ \"ЛАЙМОН ФРЕШ\" 1л (пл/бут)",шт,4620001311354,1,
"38.5.1.3. прочее",001427,"НАПИТОК Б/А ГАЗ \"ЛАЙМОН ФРЕШ\" 0,33л (ж/б)",шт,4620001311231,1,
"38.5.1.3. прочее",001432,"ЛИМОНАД \"КАЛИНОВ\" БУРАТИНО 1,5л (пл/бут)",шт,4607050692191,1,
"38.5.1.3. прочее",001433,"ЛИМОНАД \"КАЛИНОВ\" ДЮШЕС 1,5л (пл/бут)",шт,4607050692177,1,
"38.5.1.3. прочее",001435,"ЛИМОНАД \"КАЛИНОВ\" ВКУС ВИШНИ 1,5л (пл/бут)",шт,4607050694256,1,
"38.5.1.3. прочее",001436,"ЛИМОНАД \"КАЛИНОВ\" ВКУС ЕЖЕВИКИ- КЛЮКВЫ 1,5л (пл/бут)",шт,4607050692252,1,
"38.5.1.3. прочее",001446,"НАПИТОК Б/А С/Г \"ФРУТОМАНИЯ\"   БАРБАРИС 3л (пл.бут.)",шт,4600286103882,1,
"38.5.1.3. прочее",001447,"НАПИТОК Б/А С/Г \"ФРУТОМАНИЯ\"   ЛИМОНАД 3л (пл.бут.)",шт,4600286103851,1,
"38.5.1.3. прочее",001448,"НАПИТОК Б/А С/Г \"ФРУТОМАНИЯ\"   ДЮШЕС 3л (пл.бут.)",шт,4600286103844,1,
"38.5.1.3. прочее",001449,"НАПИТОК Б/А С/Г \"ФРУКТОМАНИЯ\"   ЛИМОНАД 1,5л (пл.бут.)",шт,4600286103806,1,
"38.5.1.3. прочее",001451,"НАПИТОК Б/А С/Г \"ФРУКТОМАНИЯ\"   АПЕЛЬСИН 1,5л (пл.бут.)",шт,4600286103820,1,
"38.5.1.3. прочее",001456,"НАПИТОК Б/А ГАЗ \"ДЮШЕС\" 0,5л (стбут) СДТ",шт,4600286101963,1,
"38.5.1.3. прочее",001457,"НАПИТОК Б/А ГАЗ \"САЯНЫ\" 0,5л (стбут) СДТ",шт,4600286001522,1,
"38.5.1.3. прочее",001459,"НАПИТОК Б/А ГАЗ \"ЛИМОНАД\" 0,5л (стбут) СДТ",шт,"4600286101970 4600286102014","1 1"," "
"38.5.1.3. прочее",001464,"НАПИТОК \"ДАЙКИРИ\" КЛУБНИКА ФОНТЕ 0,6л (пл/бут)",шт,4607050694768,1,
"38.5.1.3. прочее",001465,"НАПИТОК \"МОХИТО\" ФОНТЕ 0,6л (пл/бут)",шт,4607050694485,1,
"38.5.1.3. прочее",001466,"НАПИТОК \"ПИНА КОЛАДА\" ФОНТЕ 0,6л (пл/бут)",шт,4607050694782,1,
